row,column,flags,text_snippet
23,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
24,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
25,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
26,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
27,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
28,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
29,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
30,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
31,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
32,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
33,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
34,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
35,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
36,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
37,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
38,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
39,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
40,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
41,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
42,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
43,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
44,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
45,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
46,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
47,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
48,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
49,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
50,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
51,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
52,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
53,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
54,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
55,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
56,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
57,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
58,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
59,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
60,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
61,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
62,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
63,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
64,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
65,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
66,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
67,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
68,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
69,context,['medical/mental_health_ref'],"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depr"
70,context,['medical/mental_health_ref'],"I have been feeling more and more down for over a month. I have started having trouble sleeping due to panic attacks, but they are almost never triggered by som"
71,context,['medical/mental_health_ref'],"I have been feeling more and more down for over a month. I have started having trouble sleeping due to panic attacks, but they are almost never triggered by som"
72,context,['medical/mental_health_ref'],I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are b
73,context,['medical/mental_health_ref'],I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are b
74,context,['medical/mental_health_ref'],I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are b
75,context,['medical/mental_health_ref'],I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are b
76,context,['medical/mental_health_ref'],I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are b
77,context,['medical/mental_health_ref'],I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are b
78,context,['medical/mental_health_ref'],I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are b
79,context,['medical/mental_health_ref'],I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are b
80,context,['medical/mental_health_ref'],I’m facing severe depression and anxiety and I just feel like I’m going through a lot. This really distracts me and I cant get my mind off the things that are b
84,context,['medical/mental_health_ref'],"I have a severe back problem. I've had 3 major and several minor operations, but I'm still in constant pain. How can I deal with the depression from this chroni"
85,context,['medical/mental_health_ref'],"I have a severe back problem. I've had 3 major and several minor operations, but I'm still in constant pain. How can I deal with the depression from this chroni"
86,context,['medical/mental_health_ref'],"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemploy"
87,context,['medical/mental_health_ref'],"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemploy"
88,context,['medical/mental_health_ref'],"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemploy"
89,context,['medical/mental_health_ref'],"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more fre"
90,context,['medical/mental_health_ref'],"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more fre"
91,context,['medical/mental_health_ref'],"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more fre"
92,context,['medical/mental_health_ref'],"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more fre"
93,context,['medical/mental_health_ref'],"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more fre"
94,context,['medical/mental_health_ref'],"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more fre"
95,context,['medical/mental_health_ref'],I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where
96,context,['medical/mental_health_ref'],I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where
97,context,['medical/mental_health_ref'],I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where
98,context,['medical/mental_health_ref'],I struggle with depression as well as pretty intense mood swings throughout the month. I experience highs where I feel amazing and energetic and then lows where
101,context,['medical/mental_health_ref'],"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the pap"
102,context,['medical/mental_health_ref'],"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the pap"
103,context,['medical/mental_health_ref'],"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the pap"
104,context,['medical/mental_health_ref'],"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the pap"
146,context,['medical/mental_health_ref'],"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?"
147,context,['medical/mental_health_ref'],"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?"
148,context,['medical/mental_health_ref'],"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?"
149,context,['medical/mental_health_ref'],"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?"
152,context,['medical/mental_health_ref'],I am really worried about one of my friends because I think he has major depression. He disagrees with me on that. He is shut off when it comes to talking to pe
153,context,['medical/mental_health_ref'],I've become so jaded that I can't control my thoughts. I cannot focus on anything and been having anxiety attacks.
154,context,['medical/mental_health_ref'],I've become so jaded that I can't control my thoughts. I cannot focus on anything and been having anxiety attacks.
156,context,['medical/mental_health_ref'],I am a teenager. I have been experiencing major episodes of depression (if that's even what it is) for several years. It’s always getting worse. I have been hav
158,context,['medical/mental_health_ref'],"I'm currently struggling with diagnosed depression, anxiety, and Misophonia. Also, I am 99% sure I have Borderline Personality Disorder and Avoidant Personality"
159,context,['medical/mental_health_ref'],"I'm currently struggling with diagnosed depression, anxiety, and Misophonia. Also, I am 99% sure I have Borderline Personality Disorder and Avoidant Personality"
160,context,['medical/mental_health_ref'],"In the past year, two of my best and only close friends moved to different states. Now I have nobody to hang out with. I'm always alone, and I honestly haven't "
162,context,['medical/mental_health_ref'],"I'm depressed often, and my mind goes a million miles a minute. Every once in a while, things are okay for a few days. After a bit, I start noticing that I am p"
163,context,['medical/mental_health_ref'],"I'm depressed often, and my mind goes a million miles a minute. Every once in a while, things are okay for a few days. After a bit, I start noticing that I am p"
171,context,['medical/mental_health_ref'],I'm constantly in a bad mood and I have no energy. Is that depression?
180,context,['medical/mental_health_ref'],She has trouble falling and staying asleep and she's always either extremely hungry or not hungry at all. She also gets angry and feels like crying really easil
182,context,['medical/mental_health_ref'],"I had a very troubled up bringing and I'm currently dealing with alot right now. I know some people may not think so, but to me its a lot. I feel overwhelmed. C"
184,context,['medical/mental_health_ref'],My mother is combative with me when I say I don't want to talk with her about my depression.    She hasn't been supportive of me in the past and she isn't someo
187,context,['medical/mental_health_ref'],"I can't seem to feel any emotion except anxiety, not even for myself."
188,context,['medical/mental_health_ref'],"I can't seem to feel any emotion except anxiety, not even for myself."
189,context,['medical/mental_health_ref'],"I can't seem to feel any emotion except anxiety, not even for myself."
190,context,['medical/mental_health_ref'],I know I need to deal with my depression. But I don't know how and I don't want to tell anyone.    How can I deal with depression without telling anyone?
191,context,['medical/mental_health_ref'],I know I need to deal with my depression. But I don't know how and I don't want to tell anyone.    How can I deal with depression without telling anyone?
192,context,['medical/mental_health_ref'],I know I need to deal with my depression. But I don't know how and I don't want to tell anyone.    How can I deal with depression without telling anyone?
200,context,['medical/mental_health_ref'],I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel tha
201,context,['medical/mental_health_ref'],I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel tha
202,context,['medical/mental_health_ref'],I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel tha
203,context,['medical/mental_health_ref'],I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel tha
204,context,['medical/mental_health_ref'],I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel tha
205,context,['medical/mental_health_ref'],I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel tha
206,context,['medical/mental_health_ref'],I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel tha
213,context,['medical/mental_health_ref'],"My depression has been reoccurring for a long time. It all started when I was being bullied in high school. In ninth grade, my principal told me I needed to sta"
214,context,['medical/mental_health_ref'],"I've been depressed for quite a while. I've been trying to work through it, and my boyfriend has been my rock. He is honestly the only person I trust enough to "
229,context,['medical/mental_health_ref'],"I have terrible anxiety and depression. I've tried various therapists and pills, but nothing's helped."
230,context,['medical/mental_health_ref'],"I have terrible anxiety and depression. I've tried various therapists and pills, but nothing's helped."
240,context,['medical/mental_health_ref'],"Both of my parents committed suicide together, and I was the one who found them. I suffer from overwhelming depression, which is having an extreme effect on me "
241,context,['medical/mental_health_ref'],"I have bipolar disorder, paranoid personality disorder, posttraumatic stress disorder, anxiety and obsessive-compulsive disorder. I last self-harmed a week ago."
243,context,['medical/mental_health_ref'],I have been falling into a deep depression where I can no function during the day and night. The only time I am at peace is when I’m asleep. If I am with friend
244,context,['medical/mental_health_ref'],I have been falling into a deep depression where I can no function during the day and night. The only time I am at peace is when I’m asleep. If I am with friend
245,context,['medical/mental_health_ref'],I am pretty sure I have depression and anxiety. I also have voices in my head. I have problems sleeping too. I've already been diagnosed with attention-deficit 
246,context,['medical/mental_health_ref'],I am pretty sure I have depression and anxiety. I also have voices in my head. I have problems sleeping too. I've already been diagnosed with attention-deficit 
247,context,['medical/mental_health_ref'],I am pretty sure I have depression and anxiety. I also have voices in my head. I have problems sleeping too. I've already been diagnosed with attention-deficit 
251,context,['medical/mental_health_ref'],"I don't have time to live or take care of myself at times. It's causing depression, stress, and anxiety. I don't know what to do."
254,context,['medical/mental_health_ref'],"I think i may suffer from depression, and it is affecting my life and sleep. I am on my parent's insurance, and they won't let me see a therapist because they d"
259,context,['medical/mental_health_ref'],"I'm starting to think that I might have depression. The thing is though, I'm not exactly sad. I can joke with my friends and stuff, but I've stopped caring abou"
262,context,['medical/mental_health_ref'],"I keep feeling paralyzed and unsure during interviews. Previous jobs have fired me for lack of performance, and five employers have rejected me after extensive "
268,context,['medical/mental_health_ref'],My motivation has gone away. It's hard to get out of bed. I really don't know what to do anymore. I'm miserable. My anxiety and depression have taken over my li
269,context,['medical/mental_health_ref'],My motivation has gone away. It's hard to get out of bed. I really don't know what to do anymore. I'm miserable. My anxiety and depression have taken over my li
270,context,['medical/mental_health_ref'],My motivation has gone away. It's hard to get out of bed. I really don't know what to do anymore. I'm miserable. My anxiety and depression have taken over my li
274,context,['medical/mental_health_ref'],"I started having anxiety three months ago. I'm new to having anxiety, and it's making me depressed."
275,context,['medical/mental_health_ref'],"I started having anxiety three months ago. I'm new to having anxiety, and it's making me depressed."
276,context,['medical/mental_health_ref'],"I started having anxiety three months ago. I'm new to having anxiety, and it's making me depressed."
